word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
who,0,0,0,0,0,0,0,0,0,0,0,0,0,0
believes,0,0,0,0.00050241158,0,0,0,0,0,0,0,0,0,0
public,0.00667881,0.00099450099,0,0,0.0043889899,0.011753436,0,0,0.0028888889,0,0,0,0,0
interest,0.0034405991,0,0,0,0.0042008903,0,0.0018434968,0.0027461554,0,0,0,0.0029549509,0,0
his,0,0,0,0.0094453376,0,0,0.0016979576,0,0,0,0.0030406408,0,0,0.005988928
own,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walk,0,0.00093600094,0,0,0,0,0,0,0,0,0,0,0,0.00070457977
perfect,0.00040477636,0,0,0.00090434084,0,0,0,0,0,0,0,0,0,0
confidence,0,0,0,0.0023613344,0,0,0.0015524184,0,0,0,0,0.0014495986,0,0.0020634122
moreover,0.00056668691,0,0,0,0,0.000036844626,0.00072769611,0,0,0.00040286842,0,0,0,0
thoughts,0.00040477636,0,0,0,0,0,0,0,0,0,0,0,0,0
more,0,0,0,0,0,0,0,0,0,0,0,0,0,0
future,0,0.0035100035,0,0.0051748392,0,0.0016211636,0.00097026149,0.0013481126,0,0,0,0.0034009813,0.0048234742,0.0060392552
than,0,0,0,0,0,0,0,0,0,0,0,0,0,0
past,0,0,0,0.0030144695,0.0024452944,0,0.0043176636,0.0010485321,0,0,0.0017798873,0.004014273,0.0051584377,0.00085556115
while,0,0,0,0,0,0,0,0,0,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worked,0,0.0019305019,0,0.0011053055,0,0.00077373715,0,0,0,0,0,0.0006690455,0,0
tasks,0.00076907509,0,0,0.0011555466,0,0,0,0,0,0,0,0,0,0.00060392552
peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circumstances,0.00097146327,0,0,0.00030144695,0,0,0,0,0,0.00064458948,0,0,0,0
age,0,0,0,0.0013062701,0,0,0,0.0012981825,0,0,0,0,0.0012058686,0.001207851
altered,0.00016191054,0,0,0,0,0,0,0,0,0,0.00037080985,0,0,0
by,0,0,0,0,0,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0.0017081994,0.00025079942,0.0011421834,0.0012613399,0,0,0.0027395053,0,0,0.0024117371,0.0032209361
people,0,0,0,0,0,0,0,0,0,0,0,0,0,0
did,0.00036429872,0.00099450099,0.00040947246,0.0040192926,0,0,0,0.00064909127,0,0,0.00066745773,0,0,0
best,0.0024691358,0.0040950041,0,0.0018589228,0,0,0.00058215689,0.0011483923,0,0.0022560632,0,0.00027876896,0,0.0025163563
was,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whether,0.0030763003,0.0011700012,0,0.0013062701,0,0,0,0,0,0,0,0,0,0
character,0.0017000607,0,0,0.0012560289,0,0,0,0,0,0,0,0,0,0
intelligence,0,0,0.00040947246,0,0,0,0,0,0,0.0011280316,0,0,0.0020097809,0
sober,0.00016191054,0,0,0,0,0,0,0,0,0,0,0,0,0
enthusiasm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050327126
principles,0.0018214936,0,0,0,0,0,0,0,0,0,0,0.0022859054,0,0.0029693005
acting,0.00052620927,0,0,0,0,0.0001473785,0,0,0,0,0.00051913379,0,0,0
sustained,0,0,0,0,0.000062699856,0,0.00067918304,0,0,0,0,0,0.00093789777,0.00055359839
step,0,0,0.0010919266,0.0012057878,0,0.00073689252,0,0.0013980427,0,0,0,0,0.0012058686,0
